Frame,Data
0,0.00027223536744713783
1,0.0005209590075537563
2,0.1517535220156424
3,0.21517049407097516
4,0.19534098813056486
5,0.2952238295297581
6,0.36571225885934455
7,0.33136236993420265
8,0.4094324975724352
9,0.4710431995554566
10,0.42553204972867364
11,0.48579974185816227
12,0.525350712639616
13,0.4742543039717013
14,0.5117674533722759
15,0.5933680889783467
16,0.5352528132001906
17,0.6179655108154132
18,0.684796283838181
19,0.6192398302155987
20,0.6616681068299641
21,0.6640186115346937
22,0.5981692140989829
23,0.5847304700934883
24,0.5936717485598322
25,0.5355942160266575
26,0.5702397862414661
27,0.5761175608044992
28,0.5199383436879036
29,0.5215156381643281
30,0.5447234903558908
31,0.4903439229639178
32,0.5330972325126951
33,0.48183401909356943
34,0.47473628360228803
35,0.4880695793467498
36,0.49126061678866173
37,0.44549116944616696
38,0.4750371943892151
39,0.4689492557329932
40,0.422342159475915
41,0.4279805345470003
42,0.45063866285690296
43,0.4081882963318404
44,0.4217391726141074
45,0.3797661374178066
46,0.401731489017594
47,0.450914226098348
48,0.5331344861896241
49,0.4827331426317755
50,0.713582085601264
51,1.8458010140345458
52,1.662239587582138
53,4.250352558145213
54,7.893089213951786
55,7.106866659806097
56,11.214730866628223
57,10.093561325117237
58,13.664234489480513
59,16.36287566150414
60,18.72583125941623
61,16.85566640511306
62,19.151465349928902
63,20.92792838830027
64,18.84092088916844
65,19.14621650319349
66,17.23536717198239
67,16.762389403300997
68,18.59013376985566
69,16.739804075848248
70,18.855480498097407
71,20.189123045821848
72,20.913957117277263
73,18.823608922815662
74,19.871249861588787
75,20.995461964968484
76,18.897156061687596
77,19.998943026624794
78,17.999743315654033
79,19.813686525592537
80,21.257761903795
81,19.133354745213595
82,19.63968594244517
83,17.954776448351716
84,18.71417474956147
85,16.84658204691856
86,18.70120988348647
87,16.832237227513858
88,18.470630631227316
89,20.052771745961028
90,18.049506072036433
91,19.16726702794314
92,20.81204011152578
93,18.73191359607481
94,20.25989182264897
95,21.55467061523759
96,24.106348863162076
97,22.10723526857866
98,21.223328395926117
99,19.10414377420529
100,20.743478389704684
101,22.779024731032067
102,20.502456211648447
103,23.305431720854695
104,27.08195489398407
105,28.500238362715546
106,25.657112234472546
107,26.719210535561423
108,24.053086814158007
109,24.327490428274434
110,23.979156821238007
111,21.58138521316818
112,20.75280277553056
113,19.650004988517058
114,17.685669507581242
115,16.557840901015624
116,15.786894533692381
117,14.211205618746801
118,14.173764065356007
119,13.709996934638278
120,12.340048863244823
121,11.930538434165213
122,11.51868361685648
123,10.36879153005607
124,10.35752492206389
125,10.051053950701007
126,9.051911467624173
127,8.45073958126825
128,7.967183696223395
129,7.171603277151821
130,6.954491920612786
131,6.669712627538323
132,6.004139676246744
133,5.834472693103882
134,5.737070355205237
